Ticker,Date/Time,vni_close,vni_high,vni_low,vni_pct_chg,vni_rsi,basis_pct,advance,decline,ceiling,floor,total_stocks,above_ma50,ema_cross,volume,parkinson_vol,vol_ratio,ad_ratio,thrust_pct
VNINDEX,5/20/2020 0:00,852.9,852.9,842.2,0.83,78.9,0.52,16,11,1,1,32,30,30,235.67,1.18,0.93,1.45,6.25
VNINDEX,5/21/2020 0:00,862.7,862.7,854,1.15,81.4,5.94,24,3,2,1,32,30,30,301.19,1.16,1.21,8,9.38
VNINDEX,5/22/2020 0:00,852.7,860.7,852.1,-1.16,71.8,-4.26,4,26,1,1,32,30,30,265,1.02,1.06,0.15,6.25
VNINDEX,5/25/2020 0:00,859,860.5,849.1,0.74,74,-3.13,23,5,1,0,32,30,30,259.64,0.98,1.02,4.6,3.13
VNINDEX,5/26/2020 0:00,869.1,869.7,860.2,1.17,77.1,-0.69,25,4,0,0,32,30,30,306.46,0.93,1.19,6.25,0
VNINDEX,5/27/2020 0:00,857.5,875.3,857.5,-1.34,66.8,-2.3,3,24,0,0,32,30,30,354.49,0.84,1.35,0.13,0
VNINDEX,5/28/2020 0:00,861.4,866.2,856.5,0.46,68.4,-1.75,18,6,0,0,32,30,30,261.44,0.84,0.98,3,0
VNINDEX,5/29/2020 0:00,864.5,867,859.3,0.36,69.6,-2.63,12,13,0,0,32,30,29,281.75,0.79,1.04,0.92,0
VNINDEX,6/1/2020 0:00,878.7,878.7,869,1.64,74.8,-1.27,31,0,2,0,32,30,29,418.33,0.75,1.5,31,6.25
VNINDEX,6/2/2020 0:00,874.8,882.7,874.5,-0.44,71.1,-1.29,10,21,0,0,32,30,30,442.31,0.74,1.52,0.48,0
VNINDEX,6/3/2020 0:00,881.2,881.2,874,0.73,73.5,-0.64,27,4,2,0,32,31,30,316.57,0.71,1.06,6.75,6.25
VNINDEX,6/4/2020 0:00,883.9,888.3,883.2,0.31,74.5,-1.06,13,15,0,0,32,31,30,394.4,0.69,1.29,0.87,0
VNINDEX,6/5/2020 0:00,886.2,886.6,878.5,0.26,75.4,-0.18,14,13,0,0,32,31,30,451.41,0.69,1.45,1.08,0
VNINDEX,6/8/2020 0:00,899.9,905.7,888.7,1.55,79.9,-0.24,28,3,0,0,32,31,31,509.36,0.74,1.57,9.33,0
VNINDEX,6/9/2020 0:00,899.4,904.9,898.9,-0.05,79.3,-1.2,10,20,0,0,32,31,31,450.51,0.72,1.36,0.5,0
VNINDEX,6/10/2020 0:00,900,902.7,890.3,0.06,79.5,0.02,18,12,1,0,32,31,31,514.29,0.66,1.51,1.5,3.13
VNINDEX,6/11/2020 0:00,867.4,903.7,867.4,-3.63,50,-1.47,0,31,0,9,32,28,30,665.61,1,1.85,0,28.13
VNINDEX,6/12/2020 0:00,863.5,863.5,841.4,-0.44,47.7,-0.34,17,11,1,0,32,29,29,582.43,1.1,1.55,1.55,3.13
VNINDEX,6/15/2020 0:00,832.5,868.2,832.5,-3.6,33.7,-0.48,4,26,0,1,32,24,27,470.37,1.34,1.21,0.15,3.13
VNINDEX,6/16/2020 0:00,856.1,858.7,844.7,2.84,46.9,-0.1,28,2,2,0,32,26,24,359.81,1.36,0.92,14,6.25
VNINDEX,6/17/2020 0:00,854.4,861,852.3,-0.2,46.2,0.54,8,22,0,1,32,25,24,311.4,1.37,0.79,0.36,3.13
VNINDEX,6/18/2020 0:00,855.3,858,847.5,0.1,46.6,0,14,14,0,0,32,25,23,234.96,1.39,0.6,1,0
VNINDEX,6/19/2020 0:00,868.6,868.6,857.8,1.55,53.6,-1.2,24,3,1,0,32,27,21,372.26,1.39,0.94,8,3.13
VNINDEX,6/22/2020 0:00,871.3,872.9,867.4,0.31,54.9,-1.49,11,16,0,0,32,27,22,330.56,1.35,0.82,0.69,0
VNINDEX,6/23/2020 0:00,868.2,873.2,864,-0.35,53,-1.44,11,15,0,0,32,26,22,400.64,1.36,0.99,0.73,0
VNINDEX,6/24/2020 0:00,859.7,873.1,857.6,-0.98,47.9,-2.07,4,26,0,0,32,25,20,340.03,1.38,0.84,0.15,0
VNINDEX,6/25/2020 0:00,854.6,856.2,849.7,-0.6,45,-1.95,5,23,0,0,32,23,19,285.08,1.15,0.7,0.22,0
VNINDEX,6/26/2020 0:00,852,862.6,850.7,-0.31,43.5,-2.19,7,21,0,0,32,23,14,258.64,1.07,0.64,0.33,0
VNINDEX,6/29/2020 0:00,829.4,846.5,826,-2.65,32.9,-1.52,0,31,0,0,32,11,7,335.62,0.85,0.84,0,0
VNINDEX,6/30/2020 0:00,825.1,840.3,821.9,-0.51,31.3,-2.34,6,21,0,0,32,11,6,308.54,0.9,0.78,0.29,0
VNINDEX,7/1/2020 0:00,843.5,844.3,826.4,2.23,44.3,-2.32,29,1,1,0,32,16,6,251.64,0.97,0.64,29,3.13
VNINDEX,7/2/2020 0:00,842.4,845.7,838.5,-0.13,43.7,-1.6,7,21,0,0,32,16,6,190.9,0.95,0.5,0.33,0
VNINDEX,7/3/2020 0:00,847.6,848.2,843.3,0.62,47.1,-2.16,17,9,0,0,32,17,6,172.69,0.93,0.47,1.89,0
VNINDEX,7/6/2020 0:00,861.2,861.8,850,1.6,55.1,-0.64,26,2,0,0,32,21,8,194.42,0.96,0.55,13,0
VNINDEX,7/7/2020 0:00,863.4,870.6,863.4,0.26,56.3,-1.45,17,10,0,0,32,21,10,284.44,0.95,0.83,1.7,0
VNINDEX,7/8/2020 0:00,864.5,865.6,860,0.13,56.9,-0.37,14,11,0,0,32,21,12,184.01,0.89,0.56,1.27,0
VNINDEX,7/9/2020 0:00,876.5,878.4,867.5,1.38,63.3,-0.23,30,1,0,0,32,23,19,259.15,0.91,0.85,30,0
VNINDEX,7/10/2020 0:00,871.2,878.5,867.6,-0.6,59,-0.66,5,26,0,0,32,22,20,254.91,0.91,0.88,0.19,0
VNINDEX,7/13/2020 0:00,868.7,876.8,867,-0.29,57,-0.39,7,19,0,0,32,21,20,203.91,0.8,0.74,0.37,0
VNINDEX,7/14/2020 0:00,868.1,868.7,860.3,-0.07,56.5,-0.15,13,12,0,0,32,20,20,206.84,0.71,0.77,1.08,0
VNINDEX,7/15/2020 0:00,869.9,876.7,869.9,0.21,57.8,0.84,18,10,0,0,32,23,20,223.49,0.6,0.84,1.8,0
VNINDEX,7/16/2020 0:00,876.8,876.8,869.3,0.8,62.5,-0.47,24,2,0,0,32,25,23,220.94,0.6,0.84,12,0
VNINDEX,7/17/2020 0:00,872,875.1,871.9,-0.55,57.5,-0.77,8,19,0,0,32,21,24,239,0.6,0.93,0.42,0
VNINDEX,7/20/2020 0:00,861.4,871.6,861.4,-1.22,48.1,-0.85,1,28,0,0,32,17,22,256.11,0.58,1.01,0.04,0
VNINDEX,7/21/2020 0:00,861.7,864.7,856.9,0.03,48.4,0.04,17,9,0,0,32,18,22,216.05,0.58,0.88,1.89,0
VNINDEX,7/22/2020 0:00,855.1,864,855,-0.77,43,-0.73,2,25,0,0,32,12,22,207.22,0.61,0.87,0.08,0
VNINDEX,7/23/2020 0:00,856.8,857.2,852,0.2,44.7,-0.4,15,13,0,0,32,14,22,221.11,0.57,0.94,1.15,0
VNINDEX,7/24/2020 0:00,829.2,854.6,816.7,-3.22,28.8,-0.94,0,30,0,1,32,4,12,436.85,1.01,1.79,0,3.13
VNINDEX,7/27/2020 0:00,785.2,808.7,780.6,-5.31,17.6,-2.51,0,30,0,14,32,2,4,374.27,1.19,1.53,0,43.75
VNINDEX,7/28/2020 0:00,813.4,814.4,786.7,3.59,35.4,-1.91,29,2,4,1,32,4,4,310.65,1.35,1.27,14.5,15.63
VNINDEX,7/29/2020 0:00,790.8,800.4,779.8,-2.77,29.7,-1.97,1,30,0,2,32,0,1,311,1.43,1.25,0.03,6.25
VNINDEX,7/30/2020 0:00,801.1,803,794.9,1.3,35,-2.12,26,4,0,0,32,0,1,163.23,1.43,0.66,6.5,0
VNINDEX,7/31/2020 0:00,798.4,803.5,787,-0.34,34.3,-2.12,7,22,0,0,32,2,0,219.67,1.48,0.88,0.32,0
VNINDEX,8/3/2020 0:00,814.7,814.8,796.5,2.04,42.6,-2.09,31,0,0,0,32,3,0,244.79,1.53,0.97,31,0
VNINDEX,8/4/2020 0:00,827.6,827.6,820.2,1.59,48.3,-0.81,31,0,0,0,32,3,1,251.47,1.53,1,31,0
VNINDEX,8/5/2020 0:00,837.8,839.5,820.7,1.24,52.5,-0.41,29,2,0,0,32,4,3,264.84,1.57,1.04,14.5,0
VNINDEX,8/6/2020 0:00,840,844.2,833.6,0.27,53.4,-0.72,12,16,0,0,32,5,3,233.73,1.59,0.92,0.75,0
VNINDEX,8/7/2020 0:00,841.5,844.3,836.8,0.17,54,-0.2,14,13,0,0,32,7,3,230.03,1.35,0.91,1.08,0
VNINDEX,8/10/2020 0:00,843.2,849.5,843.2,0.21,54.9,-0.24,24,4,0,0,32,8,6,277.42,1.17,1.09,6,0
VNINDEX,8/11/2020 0:00,843.1,847.6,840.3,-0.01,54.8,0.31,17,13,1,0,32,11,8,226.77,0.99,0.88,1.31,3.13
VNINDEX,8/12/2020 0:00,846.9,848.5,842.9,0.46,56.9,0.33,21,4,0,0,32,13,12,238.42,0.86,0.93,5.25,0
VNINDEX,8/13/2020 0:00,855,855.2,849.9,0.96,61.1,0.4,29,1,0,0,32,18,16,236.13,0.85,0.92,29,0
VNINDEX,8/14/2020 0:00,850.7,860.3,848.4,-0.5,57.8,0.19,8,20,0,0,32,18,20,285.09,0.8,1.1,0.4,0
VNINDEX,8/17/2020 0:00,850.2,852,841.6,-0.07,57.3,0.12,10,17,0,0,32,16,21,215.89,0.71,0.84,0.59,0
VNINDEX,8/18/2020 0:00,846.4,851.1,845,-0.44,54.2,0.13,5,24,0,0,32,15,21,183.42,0.7,0.71,0.21,0
VNINDEX,8/19/2020 0:00,851.2,853.2,846.2,0.56,57.5,0.45,24,2,1,0,32,22,22,214.88,0.58,0.84,12,3.13
